full_path,size_bytes,extension,label
/UMich/download/DeepBlueData_0g354f98q/Fulfulde_Gana_near_Kikara_70042_N15_12_W01_31_gravely_terrain_01_2011_MD_JH.JPG,1247724,jpg,decompressed
/UMich/download/DeepBlueData_0g354f98q/Fulfulde_Gana_near_Kikara_70042_N15_12_W02_31_Tellem_constructions_at_base_of_cliff_face_03_2011_JH.JPG,3210669,jpg,decompressed
/UMich/download/DeepBlueData_0g354f98q/Fulfulde_Gana_near_Kikara_70042_N15_12_W02_31_Tellem_constructions_at_base_of_cliff_face_03_2011_closeup_JH.jpg,196058,jpg,decompressed
/UMich/download/DeepBlueData_0g354f98q/Fulfulde_Gana_near_Kikara_70042_N15_12_W02_31_lower_03_2011_JH.JPG,3152153,jpg,decompressed
/UMich/download/DeepBlueData_0g354f98q/Fulfulde_Gana_near_Kikara_70042_N15_12_W02_31_upper_abandoned_03_2011_JH.JPG,3163345,jpg,decompressed
/UMich/download/DeepBlueData_0g354f98q/Fulfulde_Garmi_70043_N15_14_W01_48_Rimaibe_06_2011_JH.JPG,3134589,jpg,decompressed
/UMich/download/DeepBlueData_0g354f98q/Fulfulde_Gassi_70044_N14_41_W03_37_valley_sandy_plain_with_huts_04_2011_JH.JPG,3084881,jpg,decompressed
/UMich/download/DeepBlueData_0g354f98q/Fulfulde_Gassi_70044_N14_41_W03_37_valley_with_Borassus_palm_grove_04_2011_JH.JPG,3097616,jpg,decompressed
/UMich/download/DeepBlueData_0g354f98q/Fulfulde_Gassi_70044_N14_41_W03_37_village_04_2011_JH.JPG,3097751,jpg,decompressed
/UMich/download/DeepBlueData_0g354f98q/Fulfulde_Gogoro_70046_N15_13_W02_23_village_03_2011_JH.JPG,1470908,jpg,decompressed
/UMich/download/DeepBlueData_0g354f98q/Fulfulde_Goylel_Fulbe_70048_N15_19_W01_56_Rimaibe_quarter_06_2011_JH.JPG,2192352,jpg,decompressed
/UMich/download/DeepBlueData_0g354f98q/Fulfulde_GueourouPuloGoro_70049_TogoKanzone_N14_10_W03_14_village_05_2011_JH.JPG,3070994,jpg,decompressed
/UMich/download/DeepBlueData_0g354f98q/Fulfulde_Haouangou_aka_Hawangou_70050_N14_33_W01_57_Fulbe_hamlet_near_Mondoro_village_03_2011_MD_JH.JPG,858361,jpg,decompressed
/UMich/download/DeepBlueData_0g354f98q/Fulfulde_Haouangou_aka_Hawangou_70050_N14_33_W01_57_Fulbe_hamlet_near_Mondoro_village_close_03_2011_MD_JH.JPG,796443,jpg,decompressed
/UMich/download/DeepBlueData_0g354f98q/Fulfulde_Iribanga_Fulbe_70052_N14_09_W03_27_village_05_2011_BT_JH.JPG,2859938,jpg,decompressed
/UMich/download/DeepBlueData_0g354f98q/Fulfulde_Isseye_70053_N14_52_W02_01_market_stalls_03_2011_JH.JPG,2232431,jpg,decompressed
/UMich/download/DeepBlueData_0g354f98q/Fulfulde_Isseye_70053_N14_52_W02_01_village_03_2011_JH.JPG,2229348,jpg,decompressed
/UMich/download/DeepBlueData_0g354f98q/Fulfulde_Kiri_Fulbe_70055_N15_17_W01_38_near_Hombori_06_2011_JH.JPG,1877417,jpg,decompressed
/UMich/download/DeepBlueData_0g354f98q/Fulfulde_KobouTjirey_aka_Kobahi_70056_N15_18_W01_39_near_Hombori_06_2011_JH.JPG,2276803,jpg,decompressed
/UMich/download/DeepBlueData_0g354f98q/Fulfulde_KobouTjirey_aka_Kobahi_70056_N15_18_W01_39_near_Hombori_06_2011_gardens1_JH.JPG,2188768,jpg,decompressed
/UMich/download/DeepBlueData_0g354f98q/Fulfulde_KobouTjirey_aka_Kobahi_70056_N15_18_W01_39_near_Hombori_06_2011_gardens2_JH.JPG,3356075,jpg,decompressed
/UMich/download/DeepBlueData_0g354f98q/Fulfulde_Kodiol_70057_N14_36_W03_52_village_03_2012_MD_JH.JPG,1860066,jpg,decompressed
/UMich/download/DeepBlueData_0g354f98q/Fulfulde_Kolongo_70058_N15_05_W02_39_village_03_2011_JH.JPG,2306525,jpg,decompressed
/UMich/download/DeepBlueData_0g354f98q/Fulfulde_KomboOgourou_Fulbe_70059_N14_15_W03_15_village_05_2011_BT_JH.JPG,2911240,jpg,decompressed
/UMich/download/DeepBlueData_0g354f98q/Fulfulde_Kondioly_70060_N14_35_W03_56_village_03_2012_MD_JH.JPG,2211415,jpg,decompressed
/UMich/download/DeepBlueData_0g354f98q/Fulfulde_KoundougouWourol_70064_N13_49_W03_26_village_05_2011_JH.JPG,3075773,jpg,decompressed
/UMich/download/DeepBlueData_0g354f98q/Fulfulde_Koursoutou_70065_N15_12_W02_49_village_03_2011_JH.JPG,3108695,jpg,decompressed
/UMich/download/DeepBlueData_0g354f98q/Fulfulde_Madina_near_BanguelToupe_70067_N14_41_W03_37_village_04_2011_JH.JPG,3061671,jpg,decompressed
/UMich/download/DeepBlueData_0g354f98q/Fulfulde_Naye_Foulbe_70071_N14_26_W03_02_village_04_2011_JH.JPG,3623200,jpg,decompressed
/UMich/download/DeepBlueData_0g354f98q/Fulfulde_Nienagou_70076_N14_47_W03_55_village_04_2011_JH.JPG,3532460,jpg,decompressed
/UMich/download/DeepBlueData_0g354f98q/Fulfulde_Nokara_70077_N15_10_W02_23_village_03_2011_JH.JPG,2032773,jpg,decompressed
/UMich/download/DeepBlueData_0g354f98q/Fulfulde_Ogodengou_Fulbe_70079_05_2011_BT_JH.JPG,2845271,jpg,decompressed
/UMich/download/DeepBlueData_0g354f98q/Fulfulde_Ogui_70080_N15_03_W02_25_mtn_with_Ella_mtn_to_side_03_2011_JH.JPG,1794628,jpg,decompressed
/UMich/download/DeepBlueData_0g354f98q/Fulfulde_Ouama_aka_Wama_70081_N15_15_W01_42_near_Hombori_06_2011_JH.JPG,2512939,jpg,decompressed
/UMich/download/DeepBlueData_0g354f98q/Fulfulde_Oukolourou_70083_N14_56_W01_55_hamlet_03_2011_JH.JPG,1689175,jpg,decompressed
/UMich/download/DeepBlueData_0g354f98q/Fulfulde_OuroBaaNgourdi_70085_N15_13_W02_43_village_03_2011_JH.JPG,2067810,jpg,decompressed
/UMich/download/DeepBlueData_0g354f98q/Fulfulde_OuroDiouggal_70086_N15_13_W02_39_village_03_2011_JH.JPG,1833493,jpg,decompressed
/UMich/download/DeepBlueData_0g354f98q/Fulfulde_OuroNema_70087_N14_44_W03_58_village_04_2011_JH.JPG,3174854,jpg,decompressed
/UMich/download/DeepBlueData_0g354f98q/Fulfulde_OuroNgerou_70088_N15_07_W02_10_village_seen_from_highway_03_2011_JH.JPG,3126449,jpg,decompressed
/UMich/download/DeepBlueData_0g354f98q/Fulfulde_OuroNgueou_70088_N14_48_W03_50_village_04_2011_JH.JPG,3067315,jpg,decompressed
/UMich/download/DeepBlueData_0g354f98q/Fulfulde_OuroToroli_70089_N13_54_W03_10_village_05_2011_JH.JPG,3651202,jpg,decompressed
/UMich/download/DeepBlueData_0g354f98q/Fulfulde_Papara_70091_N14_47_W03_54_village_04_2011_JH.JPG,3074254,jpg,decompressed
/UMich/download/DeepBlueData_0g354f98q/Fulfulde_Samaloye_70093_N14_36_W03_59_village__03_2012_MD_JH.JPG,3055657,jpg,decompressed
/UMich/download/DeepBlueData_0g354f98q/Fulfulde_Sampie_70095_N15_06_W02_56_village_03_2011_JH.JPG,2940086,jpg,decompressed
/UMich/download/DeepBlueData_0g354f98q/Fulfulde_SareSoma_70096_N14_45_W03_55_village_04_2011_JH.JPG,3041556,jpg,decompressed
/UMich/download/DeepBlueData_0g354f98q/Fulfulde_Sassouru_70097_N14_38_W04_00_village_03_2012_MD_JH.JPG,1973572,jpg,decompressed
/UMich/download/DeepBlueData_0g354f98q/Fulfulde_SegueBougie_70098_N14_38_W03_55_village_03_2012_MD_JH.JPG,2126216,jpg,decompressed
/UMich/download/DeepBlueData_0g354f98q/Fulfulde_Seguemara_Fulbe_70099_N14_31_W03_05_village_04_2011_JH.JPG,3445093,jpg,decompressed
